words,count
россия,"90
"
путин,"74
"
эфир,"54
"
дело,"44
"
вопрос,"42
"
расследование,"41
"
депутат,"39
"
рубль,"34
"
москва,"34
"
деньга,"30
"
партия,"29
"
мишустин,"27
"
самолёт,"27
"
миллион,"26
"
миллиард,"25
"
медведев,"25
"
день,"25
"
мочь,"25
"
новое,"24
"
митинг,"23
"
сотрудник,"23
"
владимир,"22
"
прямой,"22
"
власть,"20
"
суд,"20
"
коррупция,"19
"
страна,"19
"
штаб,"18
"
министр,"18
"
сми,"18
"
офис,"17
"
собянин,"16
"
журналист,"16
"
полиция,"16
"
интервью,"16
"
конституция,"16
"
правительство,"16
"
обыск,"15
"
пост,"15
"
прямая,"15
"
руслан,"15
"
видео,"15
"
кремль,"15
"
врач,"14
"
глава,"14
"
прокурор,"14
"
тысяча,"14
"
прессконференция,"13
"
слово,"13
"
работа,"13
"
фильм,"13
"
интернет,"13
"
алексей,"13
"
агент,"12
"
яхта,"12
"
жулик,"12
"
время,"12
"
новость,"12
"
тема,"12
"
единоросс,"12
"
дом,"12
"
голосование,"12
"
квартира,"12
"
зарплата,"12
"
канал,"12
"
премьерминистр,"11
"
место,"11
"
ребёнок,"11
"
чиновник,"11
"
семья,"11
"
аскерзад,"11
"
история,"11
"
президент,"11
"
женщина,"11
"
ведомость,"11
"
костин,"10
"
центр,"10
"
война,"10
"
больница,"10
"
фото,"10
"
борьба,"10
"
рождение,"10
"
область,"10
"
случай,"10
"
медуза,"10
"
фонд,"9
"
дмитрий,"9
"
черногория,"9
"
жена,"9
"
культура,"9
"
соболь,"9
"
жизнь,"9
"
директор,"9
"
губернатор,"9
"
комитет,"9
"
ер,"9
"
пенсия,"9
"
первое,"9
"
юрист,"9
"
минюст,"8
"
месяц,"8
"
ютюб,"8
"
шаведдинов,"8
"
дача,"8
"
девушка,"8
"
свобода,"8
"
рф,"8
"
росгвардия,"8
"
пьяный,"8
"
статья,"8
"
минута,"8
"
любовь,"8
"
судья,"8
"
наиль,"8
"
сергей,"8
"
выбор,"8
"
александр,"8
"
заявление,"8
"
убийство,"8
"
бюджет,"7
"
втб,"7
"
оппозиция,"7
"
мосгордума,"7
"
пикет,"7
"
инстаграм,"7
"
димона,"7
"
прокуратура,"7
"
симоньян,"7
"
закон,"7
"
всетаки,"7
"
акция,"7
"
земля,"7
"
право,"7
"
усманов,"7
"
соловьев,"7
"
прорыв,"7
"
шутка,"7
"
метр,"7
"
генерал,"7
"
кампания,"7
"
бог,"7
"
кома,"7
"
кандидат,"7
"
онколог,"6
"
жданов,"6
"
иван,"6
"
пентхаус,"6
"
действие,"6
"
фотография,"6
"
дверь,"6
"
час,"6
"
паркран,"6
"
лысов,"6
"
гражданин,"6
"
мир,"6
"
ответ,"6
"
список,"6
"
серия,"6
"
молодец,"6
"
газета,"6
"
лицо,"6
"
приговор,"6
"
программа,"6
"
кпрф,"6
"
вор,"6
"
сша,"6
"
счёт,"6
"
стол,"6
"
город,"6
"
режим,"6
"
результат,"6
"
номер,"6
"
плата,"6
"
господь,"6
"
факт,"6
"
сеть,"6
"
санктпетербург,"5
"
маргарита,"5
"
госбанкир,"5
"
евгений,"5
"
рогозин,"5
"
председатель,"5
"
испания,"5
"
магазин,"5
"
часы,"5
"
послание,"5
"
гостиница,"5
"
бизнес,"5
"
информация,"5
"
группа,"5
"
страница,"5
"
служба,"5
"
лариса,"5
"
проблема,"5
"
внимание,"5
"
тип,"5
"
москвич,"5
"
смысл,"5
"
здравоохранение,"5
"
михаил,"5
"
имя,"5
"
отставка,"5
"
яшин,"5
"
половина,"5
"
молодая,"5
"
чайка,"5
"
профсоюз,"5
"
координатор,"5
"
машина,"5
"
цитата,"5
"
приз,"5
"
россиянин,"5
"
чёрный,"5
"
неделя,"5
"
патриот,"5
"
шнур,"5
"
шувалов,"5
"
просмотр,"5
"
фсб,"5
"
армия,"5
"
хахах,"5
"
признание,"4
"
поддержка,"4
"
житель,"4
"
товарищ,"4
"
попов,"4
"
следователь,"4
"
трансляция,"4
"
отношение,"4
"
хинштейн,"4
"
андрей,"4
"
банк,"4
"
кира,"4
"
пригожин,"4
"
молодёжь,"4
"
гуриев,"4
"
будущее,"4
"
протест,"4
"
экономика,"4
"
организация,"4
"
арест,"4
"
личность,"4
"
яблоко,"4
"
кошмар,"4
"
связь,"4
"
решение,"4
"
кадр,"4
"
порядок,"4
"
дед,"4
"
спецназ,"4
"
инстагра,"4
"
план,"4
"
студент,"4
"
е,"4
"
источник,"4
"
лайк,"4
"
ведьмак,"4
"
метро,"4
"
го,"4
"
олигарх,"4
"
профайл,"4
"
причина,"4
"
журналистика,"4
"
татьяна,"4
"
медиазона,"4
"
табличка,"4
"
триллион,"4
"
итог,"4
"
иск,"4
"
очередь,"4
"
дорога,"4
"
сторонник,"4
"
гузеев,"4
"
удостоверение,"4
"
повод,"4
"
часть,"4
"
рудольф,"4
"
уровень,"4
"
поправка,"4
"
дно,"4
"
любовница,"4
"
победа,"4
"
регион,"4
"
государство,"4
"
преступление,"4
"
недвижимость,"4
"
чемезов,"4
"
нарушение,"4
"
проект,"4
"
сериал,"4
"
школа,"4
"
политика,"4
"
опрос,"4
"
смерть,"4
"
зал,"4
"
телеканал,"4
"
учитель,"4
"
репортаж,"4
"
район,"4
"
кино,"4
"
дерипаск,"4
"
муж,"4
"
фотошоп,"4
"
книга,"4
"
согласный,"4
"
число,"4
"
руководство,"4
"
рост,"4
"
друг,"4
"
штраф,"4
"
фраза,"4
"
аэропорт,"4
"
конкурс,"4
"
передача,"4
"
тудея,"4
"
раша,"4
"
коммент,"4
"
миняйло,"3
"
тунберг,"3
"
грета,"3
"
сахаров,"3
"
проспект,"3
"
устинов,"3
"
блохин,"3
"
наркотик,"3
"
пропаганда,"3
"
идея,"3
"
преступник,"3
"
елена,"3
"
википедия,"3
"
песков,"3
"
ахахах,"3
"
ложь,"3
"
цик,"3
"
съёмка,"3
"
стрим,"3
"
чувак,"3
"
захар,"3
"
ролик,"3
"
способ,"3
"
трэш,"3
"
герой,"3
"
совет,"3
"
цена,"3
"
отсутствие,"3
"
шапошников,"3
"
коллега,"3
"
набережная,"3
"
ребята,"3
"
ивлеева,"3
"
желание,"3
"
челны,"3
"
росгвардеец,"3
"
сутки,"3
"
банка,"3
"
трансплантация,"3
"
госканал,"3
"
жуков,"3
"
егор,"3
"
попытка,"3
"
сценарий,"3
"
мафия,"3
"
ком,"3
"
люба,"3
"
событие,"3
"
развитие,"3
"
враньё,"3
"
свинобомж,"3
"
мысль,"3
"
перестрелка,"3
"
разгон,"3
"
рпц,"3
"
улица,"3
"
субтитр,"3
"
лишение,"3
"
пора,"3
"
коридор,"3
"
олег,"3
"
рейд,"3
"
образ,"3
"
голова,"3
"
дмитрия,"3
"
снег,"3
"
сила,"3
"
использование,"3
"
гость,"3
"
тред,"3
"
представитель,"3
"
реальность,"3
"
оружие,"3
"
назначение,"3
"
интерфакс,"3
"
точка,"3
"
какаять,"3
"
лидер,"3
"
тренд,"3
"
окей,"3
"
премия,"3
"
целое,"3
"
однокурсник,"3
"
дворец,"3
"
ода,"3
"
ответственность,"3
"
всётаки,"3
"
прелесть,"3
"
сосед,"3
"
футболка,"3
"
ветеран,"3
"
леонид,"3
"
член,"3
"
система,"3
"
победитель,"3
"
госдума,"3
"
котов,"3
"
константин,"3
"
мвд,"3
"
интеллект,"3
"
обсуждение,"3
"
чувашия,"3
"
премьера,"3
"
коррупционер,"3
"
шаведдин,"3
"
анекдот,"3
"
в прямой,"3
"
стоимость,"3
"
рублёвка,"3
"
пропагандист,"3
"
полицейский,"3
"
интерес,"3
"
дедушка,"3
"
бабушка,"3
"
родитель,"3
"
соловей,"3
"
коммерсант,"3
"
принцип,"3
"
момент,"3
"
банда,"3
"
богатство,"3
"
схема,"3
"
показание,"3
"
плакат,"3
"
игра,"3
"
дискуссия,"3
"
ссср,"3
"
обращение,"3
"
забайкалье,"3
"
донат,"3
"
краса,"3
"
христиана,"3
"
юля,"3
"
валентин,"3
"
пятница,"3
"
таймкод,"3
"
язык,"3
"
совещание,"3
"
заседание,"3
"
кабинет,"3
"
мерзавец,"3
"
доказательство,"3
"
нтв,"3
"
проститутка,"3
"
встреча,"3
"
край,"3
"
политик,"3
"
палата,"3
"
красноярск,"3
"
золотов,"3
"
виталий,"3
"
твит,"3
"
архангельск,"3
"
помощь,"3
"
доллар,"3
"
текст,"3
"
бортич,"2
"
павел,"2
"
кантемир,"2
"
состав,"2
"
ахах,"2
"
онкоцентр,"2
"
италия,"2
"
брилев,"2
"
онкология,"2
"
округа,"2
"
педофил,"2
"
военком,"2
"
конфликт,"2
"
участие,"2
"
погоны,"2
"
тубдиспансер,"2
"
холивар,"2
"
спонсор,"2
"
мост,"2
"
скотство,"2
"
спикер,"2
"
долг,"2
"
чоповца,"2
"
название,"2
"
сочи,"2
"
омон,"2
"
активист,"2
"
количество,"2
"
повар,"2
"
родственник,"2
"
нефть,"2
"
выродок,"2
"
германия,"2
"
вид,"2
"
движение,"2
"
империя,"2
"
позиция,"2
"
роскомнадзор,"2
"
ряд,"2
"
расход,"2
"
ощущение,"2
"
кадыров,"2
"
экспертиза,"2
"
дегенерат,"2
"
ведьма,"2
"
сотня,"2
"
сын,"2
"
штука,"2
"
эхо,"2
"
полмиллиард,"2
"
валерий,"2
"
донор,"2
"
денис,"2
"
солидарность,"2
"
генпрокурор,"2
"
допрос,"2
"
образование,"2
"
математика,"2
"
дочь,"2
"
депуты,"2
"
лекарство,"2
"
питер,"2
"
сайт,"2
"
пос,"2
"
репрессия,"2
"
куча,"2
"
мура,"2
"
дебаты,"2
"
документ,"2
"
суббота,"2
"
медицина,"2
"
автор,"2
"
европа,"2
"
комментарий,"2
"
госдеп,"2
"
жор,"2
"
телеведущая,"2
"
крайст,"2
"
джизус,"2
"
госбанк,"2
"
расист,"2
"
предположение,"2
"
мэрия,"2
"
пожертвование,"2
"
светов,"2
"
немцов,"2
"
кинотеатр,"2
"
инфраструктура,"2
"
домик,"2
"
реакция,"2
"
американец,"2
"
состояние,"2
"
чат,"2
"
рентв,"2
"
рамка,"2
"
светлана,"2
"
тюрьма,"2
"
никита,"2
"
емельянов,"2
"
десятка,"2
"
литр,"2
"
чирцовый,"2
"
офшор,"2
"
комик,"2
"
самосуд,"2
"
реформа,"2
"
аукцион,"2
"
поп,"2
"
парочка,"2
"
разрушение,"2
"
народ,"2
"
слуга,"2
"
сокращение,"2
"
стебенков,"2
"
компания,"2
"
трасса,"2
"
генералмайор,"2
"
максим,"2
"
территория,"2
"
операция,"2
"
культ,"2
"
увольнение,"2
"
нападение,"2
"
овчарка,"2
"
провал,"2
"
украина,"2
"
создание,"2
"
каникулы,"2
"
привлечение,"2
"
стаканчик,"2
"
папа,"2
"
практика,"2
"
казань,"2
"
праздник,"2
"
бездельник,"2
"
стыд,"2
"
бастрыкин,"2
"
призыв,"2
"
средство,"2
"
политзаключённый,"2
"
телефон,"2
"
яндекс,"2
"
класс,"2
"
телега,"2
"
соцсеть,"2
"
версия,"2
"
соображение,"2
"
дубляж,"2
"
гора,"2
"
раздел,"2
"
ретвитня,"2
"
мерч,"2
"
основание,"2
"
рюкзак,"2
"
коленка,"2
"
конфискация,"2
"
университет,"2
"
темник,"2
"
продажа,"2
"
подписчик,"2
"
оливья,"2
"
дизлайк,"2
"
возможность,"2
"
пример,"2
"
кнопка,"2
"
газа,"2
"
поход,"2
"
ситуация,"2
"
заголовок,"2
"
еспч,"2
"
руководитель,"2
"
ньюйорк,"2
"
парк,"2
"
лавочка,"2
"
частность,"2
"
пункт,"2
"
правление,"2
"
гражданство,"2
"
олух,"2
"
избиратель,"2
"
референдум,"2
"
охранник,"2
"
должность,"2
"
стабильность,"2
"
ничтожество,"2
"
ска,"2
"
илья,"2
"
интеллигенция,"2
"
развал,"2
"
резиденция,"2
"
поместье,"2
"
численность,"2
"
фальшивка,"2
"
инсайдер,"2
"
дебил,"2
"
сеанс,"2
"
парень,"2
"
сталин,"2
"
волков,"2
"
население,"2
"
опыт,"2
"
красильщик,"2
"
владелец,"2
"
ключ,"2
"
давление,"2
"
мид,"2
"
продвижение,"2
"
блогер,"2
"
орешкин,"2
"
налогоплательщик,"2
"
цензура,"2
"
телевидение,"2
"
статус,"2
"
бурятия,"2
"
польша,"2
"
впечатление,"2
"
китай,"2
"
чебоксары,"2
"
возврат,"2
"
бизнесмен,"2
"
взятка,"2
"
любим,"2
"
секрет,"2
"
брат,"2
"
заместитель,"2
"
