words,count
владимир,"621
"
жириновский,"584
"
лдпр,"393
"
россия,"378
"
эфир,"274
"
госдума,"193
"
прямой,"178
"
страна,"160
"
день,"118
"
украина,"117
"
москва,"116
"
праздник,"105
"
участие,"97
"
программа,"88
"
встреча,"87
"
прямая,"76
"
мир,"75
"
выступление,"74
"
выбор,"71
"
сша,"70
"
вопрос,"64
"
депутат,"64
"
президент,"64
"
студент,"64
"
митинг,"62
"
закон,"60
"
выставка,"59
"
пресса,"57
"
молодёжь,"54
"
народ,"51
"
подход,"50
"
партия,"50
"
власть,"49
"
вечер,"46
"
гражданин,"46
"
война,"46
"
мочь,"43
"
дебаты,"42
"
площадь,"41
"
соловьев,"40
"
ребёнок,"40
"
фракция,"39
"
проблема,"38
"
работа,"37
"
жизнь,"35
"
деньга,"35
"
событие,"34
"
друг,"34
"
соболезнование,"34
"
миллион,"34
"
город,"34
"
пора,"33
"
тысяча,"33
"
минута,"33
"
тема,"33
"
дума,"32
"
кандидат,"32
"
радио,"31
"
житель,"31
"
государство,"31
"
победа,"30
"
время,"30
"
школа,"29
"
губернатор,"29
"
дело,"29
"
область,"28
"
телеканал,"28
"
запад,"28
"
крым,"28
"
заседание,"28
"
здоровье,"28
"
право,"28
"
ветеран,"27
"
сирия,"27
"
трибуна,"27
"
ситуация,"27
"
европа,"27
"
место,"27
"
ссср,"27
"
история,"26
"
киев,"26
"
экономика,"26
"
слово,"26
"
амнистия,"25
"
итог,"25
"
общение,"24
"
сила,"24
"
территория,"24
"
канал,"24
"
любой,"24
"
армия,"24
"
состав,"24
"
борьба,"24
"
земля,"23
"
рф,"23
"
часть,"23
"
семья,"23
"
правительство,"23
"
активист,"23
"
турция,"22
"
защита,"22
"
трамп,"22
"
министр,"22
"
граница,"22
"
близкие,"22
"
политика,"22
"
первое,"22
"
регион,"22
"
бюджет,"21
"
восток,"21
"
новое,"21
"
трагедия,"21
"
решение,"21
"
военный,"21
"
глава,"20
"
проект,"20
"
иран,"20
"
рынок,"20
"
парламент,"20
"
рабочий,"20
"
сочи,"19
"
рождение,"19
"
развитие,"19
"
смысл,"19
"
мэр,"19
"
посольство,"19
"
выборы,"19
"
фильм,"19
"
юбилей,"18
"
журналист,"18
"
стол,"18
"
поздравление,"18
"
отношение,"18
"
самолёт,"18
"
язык,"18
"
демократия,"18
"
конституция,"18
"
открытие,"18
"
лекция,"18
"
поправка,"18
"
совещание,"17
"
центр,"17
"
сторона,"17
"
молодая,"17
"
коррупция,"17
"
цена,"17
"
память,"17
"
коммунист,"17
"
действие,"17
"
население,"17
"
мера,"17
"
съезд,"16
"
фестиваль,"16
"
смоленск,"16
"
имя,"16
"
революция,"16
"
зюганов,"16
"
условие,"16
"
дом,"16
"
женщина,"16
"
поединок,"15
"
благополучие,"15
"
мгу,"15
"
рубеж,"15
"
пример,"15
"
ближний,"15
"
предложение,"15
"
видео,"14
"
участник,"14
"
будущее,"14
"
избиратель,"14
"
зал,"14
"
войско,"14
"
провокация,"14
"
американец,"14
"
система,"14
"
доход,"14
"
чиновник,"14
"
жильё,"14
"
образование,"13
"
час,"13
"
внимание,"13
"
март,"13
"
ответ,"13
"
нато,"13
"
блогер,"13
"
позиция,"13
"
рубль,"13
"
сми,"13
"
случай,"13
"
налог,"13
"
успех,"13
"
большинство,"13
"
пост,"13
"
служба,"13
"
законопроект,"13
"
египет,"12
"
путь,"12
"
люба,"12
"
теракт,"12
"
результат,"12
"
оценка,"12
"
грузия,"12
"
донбасс,"12
"
помощь,"12
"
столица,"12
"
сентябрь,"12
"
кровь,"12
"
сбор,"12
"
герой,"12
"
речь,"12
"
оружие,"12
"
связь,"12
"
вид,"12
"
член,"12
"
полиция,"12
"
сотрудник,"12
"
жертва,"12
"
гражданство,"12
"
орган,"12
"
ребята,"11
"
флаг,"11
"
идея,"11
"
порошенко,"11
"
кредит,"11
"
интервью,"11
"
знание,"11
"
голосование,"11
"
май,"11
"
информация,"11
"
поддержка,"11
"
долг,"11
"
миллиард,"11
"
сотня,"11
"
тв,"11
"
украинец,"11
"
шаг,"11
"
лидер,"11
"
статья,"11
"
ес,"11
"
америка,"11
"
отставка,"11
"
союз,"11
"
палата,"11
"
спорт,"11
"
счёт,"11
"
срок,"11
"
любовь,"11
"
согласный,"11
"
алкоголь,"11
"
февраль,"11
"
мужчина,"11
"
янукович,"10
"
целое,"10
"
цик,"10
"
актив,"10
"
простой,"10
"
флот,"10
"
ставка,"10
"
вуз,"10
"
учёный,"10
"
экскурсия,"10
"
свобода,"10
"
путин,"10
"
дружба,"10
"
режим,"10
"
родина,"10
"
лицо,"10
"
авиация,"10
"
тюрьма,"10
"
реформа,"10
"
число,"10
"
памятник,"10
"
лозунг,"10
"
эхо,"10
"
прессконференция,"10
"
постановление,"10
"
роль,"10
"
кабинет,"10
"
запрет,"10
"
совет,"10
"
июнь,"10
"
безопасность,"10
"
удар,"10
"
трансляция,"10
"
институт,"10
"
суд,"10
"
мвд,"9
"
рязань,"9
"
настроение,"9
"
вокзал,"9
"
посещение,"9
"
