words,count
я,"205
"
россия,"121
"
лекция,"88
"
митинг,"69
"
государство,"69
"
написать,"67
"
хороший,"66
"
нужно,"66
"
хотеть,"63
"
просто,"57
"
против,"57
"
свой,"56
"
страна,"54
"
право,"53
"
дело,"52
"
именно,"51
"
новый,"50
"
наш,"49
"
мочь,"43
"
история,"43
"
большой,"42
"
видео,"42
"
москва,"42
"
свобода,"40
"
власть,"39
"
спасибо,"38
"
делать,"38
"
время,"38
"
пока,"38
"
дебаты,"37
"
говорить,"37
"
работать,"36
"
мы,"36
"
путин,"36
"
день,"36
"
почему,"35
"
деньга,"35
"
друг,"34
"
думать,"34
"
дать,"33
"
поговорить,"33
"
писать,"33
"
закон,"33
"
русский,"32
"
новое,"32
"
рассказать,"31
"
сделать,"31
"
понимать,"31
"
мир,"31
"
смотреть,"31
"
знать,"31
"
должный,"30
"
народ,"30
"
полицейский,"30
"
площадка,"29
"
прочитать,"29
"
читать,"28
"
эфир,"28
"
любить,"28
"
город,"27
"
жить,"27
"
стрим,"27
"
каждый,"27
"
путинский,"27
"
рассказывать,"27
"
существовать,"27
"
статья,"27
"
выйти,"26
"
суд,"26
"
фильм,"26
"
понять,"26
"
государственный,"26
"
никакой,"26
"
начать,"26
"
задержать,"26
"
огромный,"25
"
приходить,"25
"
вопрос,"25
"
собственный,"25
"
её,"25
"
зал,"25
"
иметь,"24
"
пройти,"24
"
место,"24
"
текст,"24
"
разумеется,"23
"
посмотреть,"23
"
давать,"23
"
улица,"23
"
выбор,"22
"
начаться,"22
"
отношение,"22
"
война,"22
"
ждать,"22
"
либо,"22
"
либертарианство,"22
"
твит,"22
"
минута,"21
"
политический,"21
"
комментарий,"21
"
выступать,"21
"
поэтому,"21
"
ваш,"21
"
важный,"21
"
последний,"21
"
люстрация,"21
"
слово,"21
"
несколько,"21
"
чтоть,"20
"
очередной,"20
"
навальный,"20
"
дом,"20
"
прислать,"20
"
бывать,"20
"
сторона,"20
"
интервью,"20
"
стать,"20
"
налог,"20
"
обыск,"19
"
ахахах,"19
"
интересно,"19
"
защищать,"19
"
провести,"19
"
единственный,"19
"
месяц,"19
"
частный,"19
"
помощь,"19
"
либерал,"19
"
смешной,"19
"
интересный,"19
"
полиция,"18
"
идти,"18
"
интернет,"18
"
япония,"18
"
число,"18
"
назад,"18
"
кстати,"18
"
никто,"18
"
происходить,"18
"
стоить,"18
"
организовать,"18
"
любой,"18
"
приезжать,"18
"
уметь,"18
"
пытаться,"18
"
давно,"18
"
запретить,"18
"
правильно,"18
"
мент,"18
"
петербург,"18
"
завтра,"17
"
найти,"17
"
рука,"17
"
новость,"17
"
момент,"17
"
канал,"17
"
простой,"17
"
проблема,"17
"
обязать,"17
"
арест,"16
"
тур,"16
"
либертарианец,"16
"
остаться,"16
"
попасть,"16
"
разговор,"16
"
супер,"16
"
победить,"16
"
обязательно,"16
"
умный,"16
"
факт,"16
"
получиться,"16
"
рынок,"16
"
обсуждать,"16
"
ребёнок,"16
"
сергей,"16
"
группа,"15
"
вчера,"15
"
круто,"15
"
сидеть,"15
"
левый,"15
"
сми,"15
"
помнить,"15
"
самолёт,"15
"
нужный,"15
"
марш,"15
"
плохой,"15
"
общество,"15
"
голунов,"15
"
полный,"15
"
прийти,"15
"
прямо,"15
"
твой,"15
"
значит,"15
"
запрещать,"15
"
случай,"15
"
кроме,"15
"
либертарианский,"15
"
